Employer_OrganizationName,Employer_EmployerName,Employer_Telephone,Employer_Email,email_quality
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท วินนาร์ การ์เม้นท์ จำกัด,087-6668765,aopor_99@hotmail.com,1
สจจ.เพชรบุรี,ห้างหุ้นส่วนจำกัด ฮอนด้าเพชรบุรี (เจียมกิมฮะ),032427917,jiamkimha@hotmail.com,1
สจจ.กาฬสินธุ์,ห้างหุ้นส่วนจำกัด ดีโฮมคอนกรีต สาขากุฉินารายณ์,0918831468,xxx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท รักษาความปลอดภัย เอเอสเอ็ม แมเนจเมนท์ จำกัด(สนง.ใหญ่),023648593,chadapornt@asmpro.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท จีอาร์อี คอมโพสิท จำกัด,023228591,n_wipada@grecomposites.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท  เมมเบอร์ คอนโทรล แอนด์ เซอร์วิส จำกัด,02-745-3421-2,member_pestconbrol@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท แม็กโอเค จำกัด,0924059192,LaladamaymeI@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท เซียงฟู (ไทยแลนด์) จำกัด,02-7441488,shiangfubb@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท แปซิฟิค รับเบอร์เวิร์คส์ จำกัด (สำนักงานใหญ่),027445051-5,humam-resuree@pacific-rubber.com,1
สจจ.ตรัง,บริษัท ซิน ซิน ตรัง จำกัด,081-7209047,hotefly150@hotmail.com,1
สจจ.จันทบุรี,บริษัท วัฒนเวช จำกัด (โรงพยาบาลกรุงเทพจันทบุรี),039-319888,Bchhr@bch.co.th,1
สจจ.นนทบุรี,บริษัท ดีเอชแอล ดิสทริบิวชั่น (ประเทศไทย) จำกัด,029252594,Kanjana.Ratsamee@dnl.com,1
สจจ.นนทบุรี,ห้างหุ้นส่วนจำกัด ทีเอสเอ็ม เมดิคัลแอนด์เฮลท์,0863409896,tsmmboie@yahoo.com,1
สจจ.นนทบุรี,บริษัท วิลลิเม็กซ์ จำกัด,021944208,xxx.xx@xx.xxx,0
สจจ.สมุทรปราการ,บริษัท ซินนี่ (ประเทศไทย) จำกัด,034-866145-146,xxx@xxx.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,บริษัท มิเตอร์ เอ็กซ์เพรส จำกัด,"026564265,022080732",mrexpressco@hotmail.com,1
สจจ.สมุทรปราการ,บริษัท  เอ็บโบร วาวส์ เทรดดิ้ง (ประเทศไทย) จำกัด,02-7457820ต่อ1718,xxx@gmail.com,0
สจจ.สมุทรปราการ,บริษัท ซินฮั้วเท็ค จำกัด,02-757-8866-7,sinhuatec@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท เอส วรรณ ซัพพลายส์ จำกัด,025180760,wipada.s@s-one.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท เอส ซี เค คอนสตรัคชั่นแอนด์เอ็นจิเนียริ่ง จำกัด,02-1085945,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท โรงพยาบาลบางมด จำกัด,02-8670606,xxx_xx@xxx.xx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท ไทยวา จำกัด (มหาชน) (สนญ.),022850315,monnattha.k@thaiwah.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท แอลแอนด์ยู เบสท์ จำกัด,0909919150,Bestinc.sathorn@gmail.com,1
สจจ.จันทบุรี,บริษัท มงคลรุ่งเรืองกิจ จำกัด สาขาจันทบุรี,039-601143,cti@doe.go.th,1
สจจ.ตรัง,ห้างหุ้นส่วนจำกัด โรงโม่ ตรัง ภูทอง,081-9792252,trangputhong@hotmail.com,1
สจจ.สระบุรี,บริษัท น่ำเฮงศิลา จำกัด,036-230033-5,supanich_sir@namhenggroup.com,1
สจจ.ฉะเชิงเทรา,บริษัท ยูอาร์ แพ็คเกจจิ้ง อินดัสตรี้ จำกัด,0625324484,xxx@xxx.xxx,0
สจจ.สระบุรี,บริษัท น่ำเฮง โลจิสติกส์ แอนด์ เอ็นจิเนียริ่ง จำกัด,036230033-5,xxx@hotmail.com,0
สจจ.อยุธยา,บริษัท แก้วกรุงไทย จำกัด,035-333481,suriporn@grungthaigroup.com,1
สจจ.เชียงใหม่,บริษัท ดีเฮ้าส์ จำกัด,0649952583,supraditpong@hotmail.com,1
สจจ.เชียงใหม่,บริษัท ซี.เอ็ม.เบทเทอร์ ซัพพลาย จำกัด,053-132296,mrbug.cbs@gmail.com,1
สจจ.อุตรดิตถ์,ห้างหุ้นส่วนจำกัด อุตรดิตถ์เมืองเจริญ,0632456656,lukanaporn.k@gmail.com,1
สจจ.อุตรดิตถ์,บริษัท โตโยต้าอุตรดิตถ์ ผู้จำหน่ายโตโยต้า จำกัด,055429429,hrtoyotautt@hotmail.com,1
สจจ.ขอนแก่น,บริษัทสิงห์ขอนแก่น จำกัด,043258666,o_pordag_@hotmail.com,1
สจจ.ขอนแก่น,ห้างหุ้นส่วนจำกัด มิตรภาพผ้าม่าน,043-468893,000000@hotmail.com,0
สจจ.ปทุมธานี,บริษัท ปีราเน่ เซฟตี้ กลาส จำกัด,02-9098151-5,office@peraneglass.com,1
สจจ.ปทุมธานี,บริษัท เอเชีย โพลีเคมิคอล จำกัด,02-1945908,asiapolychemical@yahoo.com,1
สจจ.ขอนแก่น,บริษัท ไพรัช โฮมเดคคอร์ จำกัด,"0885644332, 043345555",hr.prhomedecor@gmail.com,1
สจจ.ขอนแก่น,บริษัท โออิชิฟู้ด จำกัด (สาขาขอนแก่น),043-346347-9,son_Hr@hotmail.com,1
สจจ.นครศรีธรรมราช,ห้างหุ้นส่วนจำกัด ซี.ซี. จักรกลและก่อสร้าง,075846091-4,cc.tw@hotmail.com,1
สจจ.สุพรรณบุรี,บริษัทสุพรรณรุ่งเรืองสตีล จำกัด,035440868,srs-2006@hotmail.com,1
สจจ.ประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด ลูกตังคพาณิช,032-671069,koy_pkn@hotmail.com,1
สจจ.กระบี่,สำนักงานจัดหางานจังหวัดกระบี่,075621112,krabidoe2014@gmail.com,1
สจจ.กระบี่,บริษัท วี เบสท์ เอ็กซ์เพรส จำกัด,0645893666,BestExpress.krabi@gmail.com,1
สจจ.กระบี่,บริษัท สยามชัย เซอร์วิส จำกัด (สาขากระบี่),0613863812,KBIsiamchai@gmail.com,1
สจจ.นครปฐม,บริษัท พีเพิ่ล(ประเทศไทย)จำกัด,03427013,office@people.co.th,1
สจจ.นครปฐม,บริษัท โรงงานเชอร์รี่ไอศกรีม จำกัด,034-321263,anon_hrm@hotmail.com,1
สจจ.พิษณุโลก,บริษัท ชินราช เอส.ดี.โอ จำกัด สาขาพิษณุโลก,"086-3684025,055-983125",puntita.u@cnr.co.th,1
สจจ.สงขลา,บริษัท ก.ชัยแสง เทรดดิ้ง จำกัด,074-414414-20,natthawut.a@korchaisaeng.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,โรงเรียนไทยศริสเตียน,02-7130922,recruit@thaichristian.ac.th,1
สจจ.สุรินทร์,บริษัท คูย่งฮวด (1995) จำกัด,044-511061,chanitnunt.s@gmail.com,1
สจจ.นครนายก,บริษัท แสงทองสหฟาร์ม จำกัด (นครนายก),037-349885-6,Wipac@akakagroup.co.th,1
สจจ.นครนายก,ห้างหุ้นส่วนจำกัด เกล็ดหิมะ เควัน,"080-1017804, 037-323689",Koneone@hotmail.com,1
สจจ.อยุธยา,บริษัท ไทยเมอร์รี่ ไบโอ เอ็นเนอร์ยี่ จำกัด,085-4872933,rattanateeratarn@gmail.com,1
